time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
3.4000,0.890770,0.005728,1.463303,1.910844,1.000000,1.293036,0.003664
3.4500,0.889088,0.005656,1.466101,1.913752,1.000000,1.292682,0.003588
3.5000,0.887442,0.005581,1.468730,1.916448,1.000000,1.292346,0.003512
3.5500,0.885833,0.005505,1.471198,1.918944,1.000000,1.292028,0.003437
3.6000,0.884262,0.005428,1.473512,1.921250,1.000000,1.291728,0.003363
3.6500,0.882731,0.005349,1.475680,1.923376,1.000000,1.291446,0.003289
3.7000,0.881243,0.005270,1.477707,1.925331,1.000000,1.291183,0.003217
3.7500,0.879799,0.005189,1.479600,1.927124,1.000000,1.290937,0.003146
3.8000,0.878400,0.005108,1.481367,1.928765,1.000000,1.290710,0.003077
3.8500,0.877048,0.005027,1.483013,1.930262,1.000000,1.290501,0.003008
3.9000,0.875744,0.004945,1.484544,1.931623,1.000000,1.290311,0.002942
3.9500,0.874490,0.004863,1.485966,1.932857,1.000000,1.290138,0.002876
4.0000,0.873286,0.004780,1.487285,1.933972,1.000000,1.289983,0.002813
4.0500,0.872134,0.004698,1.488506,1.934974,1.000000,1.289847,0.002750
4.1000,0.871035,0.004617,1.489635,1.935872,1.000000,1.289728,0.002690
4.1500,0.869989,0.004535,1.490676,1.936671,1.000000,1.289626,0.002630
4.2000,0.868998,0.004454,1.491634,1.937380,1.000000,1.289543,0.002572
4.2500,0.868060,0.004373,1.492515,1.938005,1.000000,1.289477,0.002514
4.3000,0.867177,0.004293,1.493322,1.938551,1.000000,1.289428,0.002457
4.3500,0.866348,0.004213,1.494061,1.939024,1.000000,1.289396,0.002400
4.4000,0.865573,0.004134,1.494734,1.939431,1.000000,1.289382,0.002342
4.4500,0.864851,0.004055,1.495347,1.939776,1.000000,1.289385,0.002284
4.5000,0.864180,0.003976,1.495902,1.940065,1.000000,1.289405,0.002223
4.5500,0.863560,0.003896,1.496404,1.940303,1.000000,1.289442,0.002161
4.6000,0.862988,0.003817,1.496855,1.940494,1.000000,1.289496,0.002095
4.6500,0.862461,0.003736,1.497259,1.940642,1.000000,1.289568,0.002025
4.7000,0.861976,0.003654,1.497618,1.940750,1.000000,1.289656,0.001950
4.7500,0.861530,0.003571,1.497934,1.940824,1.000000,1.289761,0.001869
4.8000,0.861118,0.003486,1.498211,1.940864,1.000000,1.289884,0.001782
